,lnR,lnR_2
2017-08-31,0.005829718707613729,3.398562020990149e-05
2017-09-01,0.008544644584717709,7.301095107914566e-05
2017-09-04,0.009800364927003535,9.604715270244101e-05
2017-09-05,0.0008172406379314268,6.678822602865653e-07
2017-09-06,0.009345319622882542,8.73349988538335e-05
2017-09-07,-0.006580150494185588,4.329838052613084e-05
2017-09-08,-0.0027068203461810825,7.3268763864998754e-06
2017-09-11,0.005875758975027345,3.45245435326144e-05
2017-09-12,-0.006294884917895871,3.9625576129552907e-05
2017-09-13,0.0020938752544692463,4.384313581278651e-06
2017-09-14,-0.004873034953096322,2.374646965409848e-05
2017-09-15,-0.0019281580884262794,3.717793613963684e-06
2017-09-18,0.010168689080444437,0.00010340223761474994
2017-09-19,-0.007681953488168247,5.90124093943803e-05
2017-09-20,0.006557191985343103,4.299676673264782e-05
2017-09-21,-0.01056991229375992,0.00011172304589777709
2017-09-22,-0.003396460786659894,1.1535945875318346e-05
2017-09-25,-0.012291127338637686,0.00015107181125460672
2017-09-26,-0.002264416251569479,5.127580960371969e-06
2017-09-27,0.008385736628802931,7.032057880764715e-05
2017-09-28,-0.00011321761786131646,1.2818228994191082e-08
2017-09-29,0.006583019224468245,4.33361421097185e-05
2017-10-09,0.01217001727394873,0.00014810932044821048
2017-10-10,0.014509224142887689,0.00021051758522855498
2017-10-11,-0.00833205047554575,6.942306512704215e-05
2017-10-12,-0.0008207200700587336,6.735814333972126e-07
2017-10-13,0.013633034470800887,0.0001858596288820452
2017-10-16,-0.02278005225771551,0.0005189307808642496
2017-10-17,-0.0030321752740611885,9.194086892628044e-06
2017-10-18,-0.004715440696115181,2.223538095857922e-05
2017-10-19,-0.0029752593132936767,8.852167981340761e-06
2017-10-20,0.009404742801034871,8.844918715361724e-05
2017-10-23,0.009817568805455146,9.638465724984598e-05
2017-10-24,0.0015419229725495143,2.37752645327593e-06
2017-10-25,0.00606562889340978,3.6791853872567556e-05
2017-10-26,-0.0013284590262232499,1.7648033843540253e-06
2017-10-27,-0.007617703519781749,5.8029406915295245e-05
2017-10-30,-0.02144418443824936,0.000459853046221656
2017-10-31,0.0074078786767382,5.4876666489272505e-05
2017-11-01,0.001581813750656913,2.5021347417672906e-06
2017-11-02,-0.013536676684164028,0.00018324161565159004
2017-11-03,-0.007933660050168712,6.2942961791643e-05
2017-11-06,0.009410185994011222,8.855160044188497e-05
2017-11-07,0.004728574577893774,2.235941753870328e-05
2017-11-08,0.003795763722640011,1.4407822238109953e-05
2017-11-09,0.009583434455573858,9.184221596428021e-05
2017-11-10,0.008729849297972159,7.621026876530499e-05
2017-11-13,0.0030522183781824808,9.316037028114894e-06
2017-11-14,-0.005111549955103101,2.6127942943514512e-05
2017-11-15,-0.015214913140609632,0.00023149358187629564
2017-11-16,0.00543465091576234,2.9535430576196443e-05
2017-11-17,-0.02390642251208508,0.0005715170373263282
2017-11-20,0.014002676243553225,0.00019607494198176984
2017-11-21,-0.0015013280692066644,2.253985971387811e-06
